,stunted_correlation,stunted_p_vals,underweight_correlation,underweight_p_vals,wasting_correlation,wasting_p_vals,bmi_correlation,bmi_p_vals
hhid,0.05091553990369908,0.23665452203608386,0.03231697656026179,0.45233812182940525,-0.03922646913462829,0.36518083827148706,-0.02722924488869323,0.5273944804360504
land_size,0.055978096111493326,0.19317913240841056,0.05601846961454904,0.1924457370316073,0.045248146177427506,0.29617096931308956,-0.023008804423433383,0.593338774414012
land_size_pc,0.10888106308279341,0.011195356333267414,0.09011734067125741,0.03578336107503714,0.02274171282682575,0.5996840714921454,-0.04892299075713666,0.2559699410761115
cid,0.050915973986466315,0.2366505202320696,0.03231705338983767,0.45233704644250294,-0.039226843743579216,0.36517625560917844,-0.027229474244250648,0.5273910006498997
hh_weight,0.007200428461427591,0.8671752647394804,-0.02008230340409603,0.6405472761782773,-0.04690319788008752,0.27883829958467465,-0.016630258763679493,0.6995396592112397
hhsize,-0.09716083824116432,0.02368979569244394,-0.03418693772828038,0.42659434487624326,0.06224082791536143,0.15053014817642305,0.09442203241763249,0.028089876153815956
numadult,0.011362730814089266,0.7918320791679251,0.036698155292799774,0.39339845274405594,0.025073282433811638,0.5628042976145511,0.03704609859750232,0.3898042254509235
numchildren,-0.1392861337892531,0.0011496750814798083,-0.07345832345547773,0.08724393475958626,0.06477578464658902,0.1345662136123665,0.09915019086129398,0.021081237495273766
numwomen,-0.04139988244222578,0.336042810719699,-0.03050264277056345,0.47813171800360643,-0.020032037939556286,0.6438625930702073,0.0442563825752935,0.3041852062005697
depend_ratio,-0.06813179149655639,0.11311446999377656,-0.031072091726756308,0.46995086414306153,0.04201525047044102,0.33206101122498743,0.056593841382424466,0.1887291034167164
hh_age,-0.04302824348211752,0.3173655127462644,0.029978142730422038,0.4857349831462182,0.0794846412490865,0.06619626390051335,0.10120904142865284,0.018539349103051828
age_ave,-0.04294067779747923,0.31835228388613546,0.028239376856979224,0.5114004209286731,0.07621760736927034,0.07817788023934015,0.09966147621381435,0.02042325897768681
edu,0.11478480277827464,0.007473600616841563,0.1420146295568098,0.0009050751499028011,0.06370009722216763,0.14117324829921746,-0.03065764614441666,0.4767146197031774
educ_ave,0.14393787842488406,0.0007772208442233244,0.12249666158018381,0.004254396537564952,0.004282622843728777,0.9212763332686907,-0.07268990960135956,0.0912101390906868
educ_max,0.12563500369561953,0.0033922523503642846,0.11773387834914878,0.00601956960452477,0.029272942419693467,0.4992652749249481,-0.061849065756652805,0.15082577331582464
hh_edu,0.10546658401045486,0.016028881799946614,0.13106992106659687,0.0026965113495952997,0.058913552030187534,0.18191817456512957,-0.029547204763152965,0.5013893722193534
hh_male_edu,0.11827861353095519,0.014234666346752559,0.12758723549167256,0.008076917361911719,0.042564481086091656,0.38253910286646076,-0.0567189513503447,0.24163015037648994
hh_fem_edu,0.031554919908374106,0.7652450353598783,0.05985279003277465,0.5708861104713425,0.05115489589210028,0.6281948664579274,0.04844193041187121,0.6465536196819276
outsidefood,-0.00979433395596209,0.8200350742474524,-0.03700724949205732,0.38942321783945344,-0.029197564358313385,0.5003712654615365,-0.017177621466043312,0.6901536490503765
outside_eat,0.03689182053317667,0.3913435033411603,-0.015796542491409347,0.7134166034241238,-0.03583340783647104,0.40814854067801254,-0.040363495424847205,0.34873729170443946
outside_eat_m,-0.013192296566239584,0.7592752055611278,0.001170759502533049,0.9782853805958128,0.022429116835262185,0.6047103944480968,0.01451045962588175,0.7363115770178037
outsidefood_m,-0.01336453417883743,0.7562310726729062,-0.03267796027433446,0.4473013415029037,-0.0318204119450896,0.4626606512991679,-0.008134823213605133,0.8502678808785151
outside_eat_f,0.03630264349259518,0.3989573679129912,-0.022188383363317903,0.605914672742415,-0.07259939626870807,0.09344173936464291,-0.03639680989763888,0.39817222559788734
outsidefood_f,-0.16686872987868676,9.489615143689764e-05,-0.028034727673706496,0.5144669662153236,-0.04391083060779078,0.31069065580427013,0.20203503221335276,2.1660203528127745e-06
outside_eat_c,-0.0441067022635868,0.30537659162679687,-0.04046196885808286,0.3466679588315258,0.02231064457142137,0.6066202567739953,0.0013255040042907016,0.9754616269127375
outsidefood_c,-0.09356638701243833,0.029401570986499703,-0.04551144940070161,0.28976884248685075,0.08557916796064209,0.04787764790416545,0.04209716511541495,0.3284089782953169
insidefoodyr,0.10418901482785993,0.015240178754838645,0.1096347705110614,0.010570911528427356,0.02401018746468657,0.5794842867397535,-0.0005921275860131294,0.9890368671875507
shannon_exp,0.03287179673266834,0.4450315124106078,0.05513378495446924,0.1995752964537605,0.019513161223501177,0.6524739989752006,-0.004600820990318218,0.9149750874843545
simpson_exp,0.052998879343111295,0.21799446970036157,0.06686842888636148,0.11962638009180503,0.031556279680354606,0.46638524655871405,-0.025281016417429292,0.5573681717367015
sh_cereals_exp,-0.045476951922193656,0.29192683951273196,-0.03938349329616741,0.361019936977939,-0.0067898104269110745,0.8758428548557581,0.03850227347354259,0.37276453164956724
sh_roots_exp,0.027178125382907918,0.6524423077777981,0.016820741118860012,0.7800806850744284,0.011876891743836483,0.8448405476412789,-0.029235566005403706,0.6280452164865905
sh_veg_exp,-0.0899200849473774,0.03795891264461876,-0.123250645376083,0.004339888015066917,-0.045776558755787795,0.2946741271753587,-0.016205276088719772,0.7092064790344554
sh_fruits_exp,0.07702595153849219,0.25200991079735047,0.045705726981870747,0.4971053713622201,-0.0036680935229663095,0.9568579931235911,-0.05012091271297614,0.4564369140883957
sh_meat_exp,-0.0705287228401654,0.2665888434775349,-0.11220218557466147,0.0760051283662766,-0.04030113240323152,0.5284163392249244,-0.05798383694004187,0.3622255698217468
sh_eggs_exp,0.022105216820141552,0.812993343663135,-0.008234538109874661,0.929479872646992,-0.0041523233445519446,0.9648705685560076,-0.05585085118314354,0.5497730531676317
sh_fish_exp,-0.03975131773671144,0.508446634236597,-0.05093621764029187,0.3949955648709944,0.012277773844326786,0.8393819733855965,-0.022648410724586707,0.7064315301358026
sh_pulses_exp,-0.04830212603907568,0.3055180162696618,-0.04515103748328205,0.33764970983698617,-0.014583250669790613,0.7590069765534154,-0.00037131996855876005,0.9937257002336807
sh_milk_exp,-0.12576756511444023,0.5319223930930355,0.35471679750122953,0.0694471088038668,0.23576435535302692,0.256561774842359,0.4201148463292159,0.029125985339199408
sh_oil_exp,0.018492292647329166,0.718996782560819,0.01097482387657618,0.830699562748777,0.006417610895765973,0.9011609155467271,0.00420303066606511,0.9349150284474989
sh_sugar_exp,0.10512318704102583,0.06810247249426601,-0.005039928629904644,0.9302639880138222,-0.07684679817602516,0.18510488032335834,-0.08961386845014203,0.12018610803256444
sh_misc_exp,0.011089514715552569,0.8106980871877012,-0.010490636235852101,0.8205542216137689,-0.02456790071888702,0.597595803528503,-0.02871081983700669,0.5355364825318791
foodvalue_totalyr,0.10418548450202668,0.015243651572076312,0.10962434156517051,0.010578347998835017,0.024002604239448933,0.579604094120362,-0.0005964715891596691,0.9889564438750617
hhexpend,0.10416233111791838,0.015266445017020378,0.10964857712755932,0.01056107370708464,0.024047035374085517,0.5789022916167459,-0.0005580633453846276,0.9896675240743573
wealth,0.03954317440153186,0.3581821840870888,0.10526445664965327,0.01412459569455101,0.058606154253179575,0.17587766830519747,0.03939827553663756,0.360393220867393
agwealth,-0.027946653386019264,0.5161782412314191,0.046285044841299694,0.28164006156552596,0.059944083555239995,0.16620145744256817,0.07357589873380166,0.08732297492376899
nonagwealth,0.06056721132517195,0.15910255618145205,0.10905573747659224,0.010990885958947792,0.046923224438498994,0.27863287270184633,0.01680086975784704,0.6966090780157512
purch_val,-0.030249794460826377,0.48219462226536414,0.07538786847579129,0.07923103502184593,0.11112494289359094,0.010102920574270641,0.06480793863366623,0.13219799655962894
tot_kcal_cons,0.0090622058499803,0.8332825358098341,0.05384126818948107,0.21033452580166254,0.05145356944573396,0.23478299841538003,0.024956922124903254,0.5624334716185457
purch_kcal_cons,-0.024028460192708066,0.5767125262864146,0.025455203865080142,0.5539206901550724,0.05293769102649575,0.22153913730485178,0.02448341058157319,0.5698736389091966
own_kcal_cons,-0.0035240470946276675,0.9347629697668782,0.0966320324019822,0.024332554130773194,0.1042294141955713,0.015875440401592403,0.09039689814616651,0.035551512969660914
gift_kcal_cons,0.04361777291618591,0.3107742578592891,0.032074704574108104,0.45573637063037986,-0.013390318514343653,0.7573151392509779,-0.014577954821397758,0.7351308849293023
tot_prot_cons,-0.019153818871527332,0.656370823854254,-0.00263677159941117,0.9511190841041153,0.02186359707729678,0.6138510824557594,0.011694560511577676,0.7860921189896495
purch_prot_cons,-0.026136022538008674,0.5437388349437484,-0.021597477018386744,0.61554724395117,0.010208544238754743,0.8137600186413131,0.001685288630235062,0.9688041434798592
own_prot_cons,-0.003058203992470044,0.9433710845215614,0.0957535339504762,0.025663219476606942,0.09666569237196211,0.025358806930224943,0.08834763496387671,0.039958396992913404
gift_prot_cons,0.048783616344062385,0.25688716864315736,0.03833134821654241,0.3726716269955872,-0.007418543342115674,0.8640724720319963,-0.012957950358551797,0.7636358416343997
tot_animal_prot_cons,-0.016683750775639432,0.698354360754185,-0.013063554437164865,0.7613388520446039,0.010698392305043367,0.8049989208845654,0.0006033254600304562,0.988829554005314
purch_animal_prot_cons,-0.01998952191487247,0.6423999377060576,-0.01657092294692085,0.7000312943402156,0.009988213000710911,0.8177083763484799,0.0005943674025960264,0.988995400015922
own_animal_prot_cons,0.041982547397782635,0.3292801552431901,0.11994940619575521,0.00512969809591913,0.0783901214265086,0.07003000972160892,0.054968159195317695,0.20176653152779161
gift_animal_prot_cons,0.09448615850308334,0.027837668128707794,0.03873030723183251,0.36771286941552417,-0.03435969987287166,0.4277093733315125,-0.04498053383394954,0.29633308271757547
tot_mfp_prot_cons,-0.0038889097134036893,0.928026086690581,-0.017243501905572087,0.6884803962151533,-0.008823904910290052,0.838647259125226,-0.010994663225023757,0.7986106807467531
purch_mfp_prot_cons,-0.007152368100839862,0.8680536926936733,-0.02070501108718429,0.6302213004875703,-0.009551599360947242,0.8255460828162982,-0.011006368092937546,0.7984008893030475
own_mfp_prot_cons,0.03997510593924365,0.352951862936867,0.11553331610761969,0.007038339204253699,0.07517597463851447,0.08234884676600161,0.05425832700966052,0.20766006806484566
gift_mfp_prot_cons,0.09472991241089884,0.027435398983330254,0.03901588142863103,0.3641886877018079,-0.03391694104777187,0.43369085210433955,-0.045158636494646485,0.2944227880121574
tot_fat_cons,-0.02074755350028419,0.6298355699496736,0.02046631545249426,0.6341710772568737,0.041868414398875196,0.33375503204836043,0.02744802032251598,0.5240805321220576
purch_fat_cons,-0.028898214590315722,0.50198916906165,-0.001235299181691184,0.9770886528184412,0.031044916982893078,0.4736430427216767,0.017119797554384725,0.6911429843621972
own_fat_cons,-0.03013281709529978,0.48389091637998316,0.04389496264999637,0.30725858174556225,0.051687655134295435,0.23265775263512686,0.06626840381629195,0.12368442754451237
gift_fat_cons,0.03597438542850253,0.4032377095044365,0.04185903377582938,0.33025854365021967,0.011694216097841895,0.7872644465715313,-0.0007725945557594939,0.9856958698936475
tot_chocdf_cons,0.017157047177295,0.6902332506476729,0.05441009532912984,0.20554898710870004,0.04336981896801935,0.31669549031183253,0.019537384694873053,0.6502462178138597
purch_chocdf_cons,-0.01555390405057968,0.7178792076596708,0.03105860561399703,0.47014371333790084,0.0486201155935975,0.26159884509130454,0.02250578442472252,0.6014429747417593
own_chocdf_cons,0.005256949120574737,0.9028160525728963,0.10264888274077218,0.016721603340948812,0.10972677793263869,0.011093990491912628,0.08837399192400314,0.03989890992902482
gift_chocdf_cons,0.03970048800552706,0.35627164762758223,0.012463655708598951,0.7719887111457392,-0.03900662251406496,0.36787643928702185,-0.026153958714596755,0.5438360800655645
tot_fasat_cons,-0.01673908856789374,0.6974030395713855,0.0239816482791375,0.5771029347654201,0.046618442280645704,0.28177036031436264,0.02325189301175557,0.5894403094146627
purch_fasat_cons,-0.022207133723374628,0.605943867463191,0.013142665658407746,0.7599377197809221,0.04143558525951481,0.33878078198121875,0.019753854406749486,0.6466328167119755
own_fasat_cons,-0.013161461959761209,0.7598205716632646,0.09956318675739309,0.02031498000352841,0.1040587441054092,0.016049151879478453,0.0862040232246234,0.045054133411895805
gift_fasat_cons,0.05242626632844765,0.22301482569696474,0.04440930268726112,0.301619581264853,-0.004209176801848427,0.9226221614118713,-0.014136535528681018,0.7428638078040293
tot_fams_cons,-0.01890982746954738,0.6604727418476454,0.0061918366157221435,0.8855373549408011,0.023409962742287283,0.5890028705141748,0.017904293394110787,0.6777661678484088
purch_fams_cons,-0.02676528885586106,0.5340782352982854,-0.01631089563475904,0.7045158061265024,0.012217637334727461,0.7779862090707771,0.007290234515215426,0.8656577578256406
own_fams_cons,-0.03618265069397299,0.400518849207259,0.02462435323864379,0.566935835479436,0.03413444451712388,0.4307464689850762,0.05453921998337252,0.20531317627983758
gift_fams_cons,0.0333183444106446,0.4388687413610507,0.04081991667165683,0.3424151046406654,0.013661316830282298,0.752562124473411,0.0009582208175102135,0.9822596198259456
tot_fapu_cons,-0.01352393989285527,0.7534170877549109,0.0503085041602058,0.24186154263728463,0.05244311719486229,0.22589192704728747,0.04982006945861944,0.247344501929096
purch_fapu_cons,-0.06612982276670434,0.12412431161138589,-0.00745928398226909,0.8623206954659668,0.04429962247458788,0.3064219236932685,0.04498406803339164,0.2962950953320336
own_fapu_cons,-0.030323330892182025,0.4811299197693035,0.04538165340611497,0.2911479918839039,0.05593256395085612,0.19645782794906122,0.0695226279336222,0.10625230106204703
gift_fapu_cons,0.03167779433476328,0.4617493109337256,0.038147239076911685,0.3749738298508716,0.01162113907813891,0.7885622518509108,0.0005448686823641302,0.9899118085397757
tot_chole_cons,-0.014548765915719896,0.7354052594345348,-0.005844088120600834,0.891925330389816,0.015218656496435173,0.7254341473925905,0.004340982341446389,0.9197603438712705
purch_chole_cons,-0.02133636714686089,0.6201489177715052,-0.013351398517632413,0.7562446493277704,0.014719468824037373,0.7340942302858857,0.0026857794632904955,0.9503038152327784
own_chole_cons,0.03679894029809038,0.39253790828425517,0.06068951862500806,0.15787576132874706,0.0026296119536761897,0.9516133093549675,0.029558881916526655,0.4926615627005976
gift_chole_cons,0.0712036455272693,0.09772998087067124,0.04216291571138505,0.3267567568968853,0.008206610362837263,0.8497960519584125,-0.02043670549302814,0.6352890510140781
tot_fib_cons,-0.003586246635517271,0.933614164416509,0.05274013300107535,0.21982577967463143,0.05404074747331561,0.2120477069984038,0.046227754000828514,0.28312891240944676
purch_fib_cons,-0.02880783753215889,0.5033279110217521,-0.025683464469395165,0.5503707389373378,0.00402507643031139,0.9259965864252334,-0.0023831221359465115,0.9558979675491681
own_fib_cons,0.01118324623747345,0.7950465952176476,0.10373359914871441,0.01559775208256243,0.10226992599405911,0.017972489730703135,0.08387506792673771,0.05119891680920542
gift_fib_cons,0.03013430357902426,0.48386934058160413,0.01733279556127211,0.6869522261737857,-0.03374915493281339,0.43597010910668477,-0.012842464364266722,0.76568066227947
tot_sucs_cons,0.021138259601822734,0.6234007924808704,0.052018195286526604,0.2262125918211332,0.03652509799672688,0.39915389814791324,0.012928170541834769,0.7641629730180197
purch_sucs_cons,-0.009004750645884766,0.8343242089308542,0.040252556847873405,0.34917150853619794,0.05112235741720091,0.23781341087368177,0.02437741617536064,0.5715454921418409
own_sucs_cons,-0.036923243654678486,0.390939912417795,0.02587924099034349,0.5473349120527994,0.05500554607026964,0.203989190621351,0.04513417721033884,0.294684644824953
gift_sucs_cons,0.03535874947742507,0.41133892614010925,0.04208104689708524,0.3276977974128137,0.012837866875439235,0.7670327553571095,-6.255249057174907e-05,0.9988418162620555
tot_phytac_cons,-0.026247715951830307,0.5420177903246051,0.03947902355307183,0.35851813670229093,0.060919979233675654,0.15939935558968765,0.06184822810649513,0.15083131554850476
purch_phytac_cons,-0.08427172820372399,0.04989293232260697,-0.08734313900042771,0.041901158620590385,-0.010947212323070376,0.8005579504353233,0.004762978231678662,0.9119903028138862
own_phytac_cons,-0.009965163454633087,0.8169512140864236,0.08478236326857871,0.04830982659431824,0.09574862972832618,0.026788746004106568,0.08853644880475162,0.03953390031566367
gift_phytac_cons,0.03395554073274758,0.4301600766052045,0.027388810527018515,0.524207799992112,-0.0067578763202769876,0.8760753424608922,-0.009596097555148722,0.8237780274032007
tot_trp_cons,-0.027099001163022857,0.5289903344370647,-0.0013474953145391933,0.975008378649337,0.033681802703991646,0.43688697558982537,0.015666550928135167,0.716176032861746
purch_trp_cons,-0.03283929468361278,0.4454819837986015,-0.014068045169898432,0.7436078340177734,0.02704051410458773,0.5325618308539042,0.010700497197424459,0.8038878698667471
own_trp_cons,-0.008253356297232277,0.8479731616944444,0.08023608571087809,0.06170706461116977,0.08237109580200805,0.05690637023954446,0.07299460711323429,0.08985795905405079
gift_trp_cons,0.05363760960592905,0.21249060599041633,0.04761044626402697,0.268074682905676,-0.0019199123045755611,0.9646621844542344,-0.011272617379289867,0.7936327358537214
tot_thr_cons,-0.01879012306078943,0.6624889158802956,-0.004905548927311368,0.9091996404708679,0.019614407343981056,0.65079001586797,0.009160862875959413,0.8316484477745676
purch_thr_cons,-0.024333687481530277,0.5718794005906678,-0.01852743086199003,0.6666320274661403,0.011825098588391769,0.7849415238741856,0.002655511965141108,0.9508631577497472
own_thr_cons,-0.003760946378553734,0.9303882618415247,0.09135990176558029,0.033299935320299366,0.08933402495297749,0.03886622448817435,0.08354066092805082,0.05213618060226309
gift_thr_cons,0.05101816051275665,0.23570979100259595,0.042582714326903436,0.3219589173524521,-0.0036537947482862235,0.9328058855874404,-0.011454536231699619,0.7903792288745651
tot_ile_cons,-0.020065945627322272,0.6411285008733755,-0.003937749932483949,0.9270573524813285,0.022064174801085957,0.6106021228287715,0.010583487371839286,0.8059894616951214
purch_ile_cons,-0.025716620076883027,0.5502253654654654,-0.017760249380777145,0.6796545411647542,0.014173858541277385,0.743598364457214,0.004066356281502621,0.9248210771506481
own_ile_cons,-0.00381131081152135,0.9294584712890577,0.09255854352240599,0.031045173444407367,0.0906400341826978,0.03608908762872924,0.08350728931634238,0.052230493666152046
gift_ile_cons,0.05205791995823267,0.22628757983247727,0.04394349762374977,0.3067235101268208,-0.0032780317980434163,0.939702365156484,-0.010995513894544394,0.7985954333377484
tot_leu_cons,-0.020577392004103263,0.6326468830015173,-0.0033400947965700426,0.9381041232908532,0.022937257928784382,0.5965494658711163,0.012557049227996796,0.770741247872785
